brand,categories,name,reviews.rating,reviews.date
Amazon,Amazon Devices,Certified Refurbished Echo Dot (2nd Generation) - Black,5.0,
Amazon,Amazon Devices,Certified Refurbished Echo Dot (2nd Generation) - Black,5.0,2017-03-25 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Echo Dot (2nd Generation) - Black,4.0,2017-04-18 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Echo Dot (2nd Generation) - Black,5.0,
Amazon,Amazon Devices,Certified Refurbished Echo Dot (2nd Generation) - Black,5.0,2017-06-04 00:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-04-07 00:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,4.0,2014-04-06 00:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,4.0,2014-04-06 00:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,4.0,2014-04-06 00:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,4.0,2014-04-03 00:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-04-07 00:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,4.0,2014-04-03 00:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-09-02 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-04-07 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-09-02 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-04-03 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,2.0,2014-09-03 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,1.0,2014-09-02 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,1.0,2014-06-24 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,3.0,2014-04-03 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-04-04 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-09-03 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,4.0,2014-09-02 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,4.0,2014-04-03 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,4.0,2014-04-03 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-09-02 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,4.0,2014-09-02 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-09-03 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,1.0,2014-09-03 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-04-03 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,1.0,2014-04-05 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-09-03 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-04-07 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-09-02 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-09-03 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,4.0,2014-04-06 05:00:00+00:00
Amazon,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",Amazon Fire TV,5.0,2014-09-03 05:00:00+00:00
